brand;brand_slug;collection;collection_slug;match_q;length_mm;width_mm;pack_qty;pack_area;price_per_m2;products_count;unit
Kalmar;kalmar;Kalmar L1367-06991;kalmar-l1367-06991;;1380;190;7;1.8354;1830;1;м²
Kalmar;kalmar;Kalmar L1367-06992;kalmar-l1367-06992;;1380;190;7;1.8354;1830;1;м²
Kalmar;kalmar;Kalmar L1367-06993;kalmar-l1367-06993;;1380;190;7;1.8354;1830;1;м²
Legend;legend;Legend WR;legend-wr;;;;;;5227.25;5;упаковка
Look;look;Look;look;;;;;2.153;1585;6;м²
Malmo;malmo;Malmo pro;malmo-pro;;1380;156;8;1.7222;2240;6;м²
NATURA;natura;NATURA LINE;natura-line;;;;;;2850;4;упаковка
Nord;nord;Nord Wood;nord-wood;;;;;;3520;9;упаковка
Pergo;pergo;Pergo L1257;pergo-l1257;;1200;190;7;1.596;2180;13;м²
Skara;skara;Skara;skara;;1380;190;5;1.311;3220;19;м²
Skara;skara;Skara pro;skara-pro;;1380;190;6;1.5732;2940;25;м²
Slim;slim;Slim Wood;slim-wood;;;;;;2265.9;9;упаковка
Stavanger;stavanger;Stavanger pro;stavanger-pro;;;;;;5946.9;6;упаковка
Sunfloor;sunfloor;Sunfloor;sunfloor;;;;;;3177.2;8;упаковка
Super;super;Super Natural;super-natural;;;;;;2442;1;упаковка
Tarkett;tarkett;Tarkett Ballet;tarkett-ballet;;;;;;3105.75;5;упаковка
Tarkett;tarkett;Tarkett Celebration;tarkett-celebration;;;;;;2255.4;6;упаковка
Tarkett;tarkett;Tarkett Cinema;tarkett-cinema;;;;;;2592.47;10;упаковка
Tarkett;tarkett;Tarkett Cruise;tarkett-cruise;;;;;;2298.56;4;упаковка
Tarkett;tarkett;Tarkett Dynasty;tarkett-dynasty;;;;;;2056.05;4;упаковка
Tarkett;tarkett;Tarkett Estetica;tarkett-estetica;;;;;;3171.23;12;упаковка
Tarkett;tarkett;Tarkett Navigator;tarkett-navigator;;;;;;2376.94;14;упаковка
Tarkett;tarkett;Tarkett Pilot;tarkett-pilot;;;;;;2343.26;9;упаковка
Tarkett;tarkett;Tarkett Poem;tarkett-poem;;;;;;2858.71;8;упаковка
Tarkett;tarkett;Tarkett Trophy;tarkett-trophy;;;;;;3127.8;13;упаковка
Timber;timber;Timber Forester;timber-forester;;;;;;2833.6;5;упаковка
Timber;timber;Timber Harvest;timber-harvest;;;;;;3869.65;6;упаковка
Timber;timber;Timber Lumber;timber-lumber;;;;;;2842.39;5;упаковка
Touch;touch;Touch;touch;;;;;1.755;2390;4;м²
Uppsala;uppsala;Uppsala pro;uppsala-pro;;1200;190;7;1.596;2630;16;м²
Woodstyle;woodstyle;Woodstyle BRAVO;woodstyle-bravo;;;;;;2226.15;6;упаковка
Woodstyle;woodstyle;Woodstyle PRONTO;woodstyle-pronto;;;;;;1669.82;8;упаковка
Woodstyle;woodstyle;Woodstyle Vega;woodstyle-vega;;;;;;2730.6;10;упаковка
Woodstyle;woodstyle;Woodstyle VIVA;woodstyle-viva;;;;;;2226.15;5;упаковка
Woodstyle;woodstyle;Woodstyle Zoom;woodstyle-zoom;;;;;;2730.6;10;упаковка
